gold_id,latitude,longitude
Go0000002,54.517335,159.973068
Go0000004,44.560318,-110.8228244
Go0000005,44.6100594,-110.4388217
Go0000009,40.0812,-74.4078
Go0000012,-20.351667,-70.8
Go0000016,42.404699,-72.308526
Go0000018,23.0148,-75.0031
Go0000019,0,-140
Go0000021,45.04,-94.418
Go0000026,26.6,-77.8833
Go0000027,53.55,10
Go0000028,31.92,131.42
Go0000033,-7.532264,131.361112
Go0000037,41.526411,-70.680585
Go0000038,43.881678,2.796343
Go0000042,39.689,-84.168
Go0000049,0,-140
Go0000051,51.9646,5.6623
Go0000053,-30,26
Go0000055,44.3023,-110.5199
Go0000056,44.646244,-63.573566
Go0000066,66.67,-18.5
Go0000069,52.52,13.4
Go0000071,49.48,8.44
Go0000075,51.5,-0.12
Go0000077,45.052564,135
Go0000081,52.011899,4.360257
Go0000083,54.943172,10.775886
Go0000084,42.374554,-71.116818
Go0000085,27.783333,126.883333
Go0000086,27.783333,126.883333
Go0000087,36.022,-84.269
Go0000091,33.283615,-81.726394
Go0000094,52.9509,0.9329
Go0000096,44.6264,-85.6091
Go0000100,38.1287,-122.7616
Go0000115,32.9,-117.255
Go0000117,40.888925,9.101915
Go0000119,33.216667,136.71667
Go0000120,37.690968,-122.310752
Go0000123,41.603221,-73.087749
Go0000126,-22.058056,-176.0775
Go0000128,40.438423,-80.001933
Go0000129,40.438423,-80.001933
Go0000134,29.651,-82.325
Go0000136,40.106649,-88.195627
Go0000137,53.5528,9.9806
Go0000140,42.374554,-71.116818
Go0000142,33.7423,-67.4913
Go0000143,39.166667,6.166667
Go0000146,37.916192,139.036413
Go0000148,39.538845,-107.783363
Go0000151,-23.273646,151.950073
Go0000153,44.4267,-83.3323
Go0000154,22.571417,88.344907
Go0000156,35.2,139.5
Go0000157,37.538777,127.665269
Go0000162,40.434718,-3.697128
Go0000163,40.833,14.15
Go0000166,35.080371,-106.627085
Go0000172,40.829,14.13
Go0000175,47.7398,13.3017
Go0000181,30.473413,-87.212261
Go0000182,38.067222,-122.25
Go0000189,18.92,-155.27
Go0000190,34.751389,-66.183611
Go0000195,39.940594,32.854385
Go0000196,14.2359,121.166
Go0000197,48.38828,-115.55581
Go0000202,38.3913,14.968
Go0000206,44.9641,-93.0846
Go0000207,34.107811,-118.599658
Go0000208,46.08,18.22
Go0000209,10.345,107.084
Go0000212,34.052187,-118.243425
Go0000213,37.835276,-25.463562
Go0000214,37.06667,-40
Go0000215,34.75139,-66.18361
Go0000216,-19,67
Go0000217,-5.11667,-107.01667
Go0000220,34.423403,-119.704416
Go0000223,47.606,-122.332
Go0000228,51.9685407,5.6300949
Go0000229,43.3007,-73.6349
Go0000238,71.294,-156.25
Go0000240,48.38828,-115.55581
Go0000242,33.831609,-118.263731
Go0000245,60.025392,10.666437
Go0000246,52.5534,13.4083
Go0000249,9.8505,-104.2999
Go0000258,44.393704,-110.567703
Go0000259,41.525871,-70.670327
Go0000260,41.476883,-71.426451
Go0000264,41.879535,-87.624333
Go0000265,31.5841,72.6599
Go0000271,40.71,-74
Go0000272,35.447507,139.642345
Go0000276,-36.5588,145.415039
Go0000283,35.97,-83.92
Go0000286,37.51,-122.506701
Go0000288,32.22899,-110.955442
Go0000295,36.4595,-97.179
Go0000298,51.532,9.928
Go0000299,57.158679,-2.071953
Go0000301,47.609106,-122.569354
Go0000302,41.8647,-87.6477
Go0000303,38.9867,-77.1007
Go0000304,37.986853,-119.045711
Go0000306,47.3775,8.5396
Go0000307,43.2,3.315
Go0000310,31.9001,-124.1668
Go0000315,48.148312,-69.717963
Go0000316,53.598161,6.702723
Go0000319,38.345,-0.481
Go0000323,51.50685,-0.130781
Go0000325,42.6985,-73.9059
Go0000328,37.7539,126.4882
Go0000330,35,-76
Go0000334,32.6852,-117.1445
Go0000338,51.3534,-1.6156
Go0000339,48.38828,-115.55581
Go0000346,53,-2
Go0000347,58.42198,-149.574839
Go0000350,40.833568,14.162399
Go0000353,29.82,-95.34
Go0000354,40.75,-73.98
Go0000356,33.94,-117.4
Go0000359,70,160
Go0000361,12.25,-68.75
Go0000363,57.3798,20.0115
Go0000365,55.755786,37.617633
Go0000367,-68.479167,-78.183611
Go0000368,43.24,-73.6678
Go0000371,36.0759,-94.1577
Go0000374,37.584154,-76.178374
Go0000377,42.22179,-120.367935
Go0000381,38.3121,-123.0661
Go0000384,40.756054,-73.986951
Go0000386,51.75,-1.26
Go0000387,33.2842,-81.7263
Go0000391,52.792,7.242
Go0000393,44.376262,-110.690383
Go0000394,44.533823,-110.797433
Go0000395,21.019266,-101.261455
Go0000397,35.191213,-97.441347
Go0000402,41,-82.4498
Go0000403,35.012076,135.769104
Go0000404,-38.009841,144.025274
Go0000408,33.378561,126.566191
Go0000409,39.776,3.0203
Go0000410,35.689488,139.691706
Go0000416,5.8992,-55.168
Go0000425,37.513333,-68.24
Go0000429,38.9863,-77.0535
Go0000431,53.1508714,13.0498302
Go0000433,61.75,6.816667
Go0000437,47.116667,145.850278
Go0000438,45.4556,12.3374
Go0000439,42.2424,-71.3697
Go0000448,40.844,14.251
Go0000453,-24.798703,31.435543
Go0000455,37.066666,-40
Go0000456,-66.4,140.01
Go0000458,-27.051537,-52.082512
Go0000460,43.7722,-79.3661
Go0000461,30.4515,-97.7362
Go0000463,-12.616181,-47.883649
Go0000464,41.5632,-70.6167
Go0000467,65.821602,153.327561
Go0000472,35.702222,139.7625
Go0000473,44.6633,-110.4927
Go0000480,39.953032,-82.978495
Go0000483,50.928014,-0.461707
Go0000489,51.5849,-0.1272
Go0000490,19.4605,-99.123
Go0000496,21.462738,-157.810321
Go0000505,35.12,-90
Go0000507,31.596554,130.557116
Go0000509,42.442703,-76.4983749
Go0000510,37.88391,-122.30319
Go0000513,30.27,-97.74
Go0000519,11.35185,142.4325
Go0000520,59.32222,20.05056
Go0000523,35.0942,138.37738
Go0000528,31.4,35.423
Go0000536,40.756,-72.82
Go0000537,34.3039,131.4724
Go0000541,39.951639,-75.163808
Go0000542,-24.798703,31.435543
Go0000546,-19.018917,16.346379
Go0000549,34.385203,132.455293
Go0000550,51.1657,10.4515
Go0000551,26.826167,-102.254792
Go0000555,-4.08,-63.13
Go0000558,40.43,-80
Go0000569,51.372,-0.452
Go0000572,29.777,-95.376
Go0000581,51.213219,0.249551
Go0000591,42.22179,-120.367935
Go0000596,-34.6,-58.45
Go0000602,35.191213,-97.441347
Go0000608,23.75298511,120.9498753
Go0000614,50.732705,7.096311
Go0000617,36.805686,128.624055
Go0000618,49.5,-2.5
Go0000620,43.2,6.866667
Go0000621,37.083333,-68.033333
Go0000622,22.495,-65.6
Go0000623,28.983333,-64.35
Go0000624,44.98,-110.45
Go0000625,44.611,-110.433
Go0000632,23.75298511,120.9498753
Go0000635,54.451262,10.261204
Go0000636,35.447507,139.642345
Go0000642,-34.93,138.6
Go0000648,34.97712,138.383085
Go0000649,38.634788,-90.263207
Go0000652,34.693738,135.502165
Go0000663,39.294255,-76.614275
Go0000669,41.302933,-72.93156
Go0000670,39.908173,116.397947
Go0000671,43.204557,-75.923098
Go0000680,34.99,138.39
Go0000681,33.318279,131.45264
Go0000690,44.3757616,135.7631719
Go0000699,40.75,-111.918082
Go0000702,38.396,14.968
Go0000705,40.735,13.948
Go0000706,39.93,116.39
Go0000715,40.75,-73.98
Go0000723,32.96666,131.03333
Go0000725,41.603221,-73.087749
Go0000727,60.19256,11.992046
Go0000728,40.833335,14.149995
Go0000742,36.459511,138.175003
Go0000743,11.127123,78.656894
Go0000746,38.4879,14.9456
Go0000750,33.5324,-86.803
Go0000755,-22.2459,-43.7031
Go0000759,13.44972956,-15.39758203
Go0000940,13.330266,14.100133
Go0000763,51.876,-2.249
Go0000766,38.3912,14.9676
Go0000771,40.416741,-3.70325
Go0000781,50.814788,8.769239
Go0000784,40.106649,-88.195627
Go0000791,37.77,-122.22
Go0000799,34.93171,134.082527
Go0000826,55.676111,12.568333
Go0000849,46.522493,-119.524498
Go0000868,41.895466,12.482324
Go0000897,40.756054,-73.986951
Go0000927,-64.76667,-64.06667
Go0000928,-36.823104,-73.213066
Go0000929,30.7429,-81.5541
Go0000932,41.6,17.36889
Go0000939,40.567095,-105.077036
Go0000949,59.899,17.6408
Go0000952,43.09709,-89.50473
Go0000953,39.789,20.781
Go0000965,43.07,-89.4
Go0000968,26.72868,-80.099946
Go0000969,-23.821424,31.445618
Go0000975,38.29,141.02
Go0000979,51.500152,-0.126236
Go0000982,60.00002,11.36903
Go0000985,46.59019,125.104637
Go0000988,35.493138,-97.45914
Go0000998,38.58,-122.58
Go0001000,42.283783,-71.347275
Go0001004,60.18,24.94
Go0001016,37.986853,-119.045711
Go0001018,44.376262,-110.690383
Go0001019,26.35,-84.5
