id,lat_lon
nmdc:bsm-13-amrnys72,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-4jtymw61,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-99ey0251,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-efabad96,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-w2cwcx50,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-2jy0tr02,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-mz3ec282,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-dmfbnx39,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-fw3n4813,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-32wxmk58,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-46s2da53,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-6g1e1j04,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-tr31x045,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-6qgwc522,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-v21t1j87,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-vrsw1c02,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-y31mxv90,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-3xc5ft48,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-tz96dg48,"{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-kfs0cq71,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-5qq80d09,"{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-b2w6cr26,"{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-35zsgb58,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-9apvdh46,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-3p3ehg08,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-bja22k98,"{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-dh6mrw95,"{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-pp3dyq82,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-0k8nkx16,"{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-ekcp0h74,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-k1twxb65,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-kmw7r933,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-66d1ht20,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-vhk2dt09,"{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-nxhj1324,"{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-e50em075,"{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-cfvxnx86,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-7v0s5h20,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-hsbzr487,"{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-cq098052,"{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-q0kq3j07,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-gct9a904,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-njgegt83,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-ra4act47,"{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-4cf44p06,"{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599, 'type': 'nmdc:GeolocationValue'}"
