biosample_id,latitude,longitude
nmdc:bsm-13-amrnys72,46.37228379,-119.2717467
nmdc:bsm-13-4jtymw61,46.37228379,-119.2717467
nmdc:bsm-13-99ey0251,46.37228379,-119.2717467
nmdc:bsm-13-efabad96,46.37228379,-119.2717467
nmdc:bsm-13-w2cwcx50,46.37228379,-119.2717467
nmdc:bsm-13-2jy0tr02,46.37228379,-119.2717467
nmdc:bsm-13-mz3ec282,46.37228379,-119.2717467
nmdc:bsm-13-dmfbnx39,46.37228379,-119.2717467
nmdc:bsm-13-fw3n4813,46.37228379,-119.2717467
nmdc:bsm-13-32wxmk58,46.37228379,-119.2717467
nmdc:bsm-13-46s2da53,46.37228379,-119.2717467
nmdc:bsm-13-6g1e1j04,46.37228379,-119.2717467
nmdc:bsm-13-tr31x045,46.37228379,-119.2717467
nmdc:bsm-11-6qgwc522,35.8443,-83.9607
nmdc:bsm-13-v21t1j87,46.37228379,-119.2717467
nmdc:bsm-11-vrsw1c02,35.8443,-83.9607
nmdc:bsm-11-y31mxv90,35.8443,-83.9607
nmdc:bsm-11-3xc5ft48,35.8443,-83.9607
nmdc:bsm-11-tz96dg48,35.8444,-83.9599
nmdc:bsm-13-kfs0cq71,46.37228379,-119.2717467
nmdc:bsm-11-5qq80d09,35.8444,-83.9599
nmdc:bsm-11-b2w6cr26,35.8444,-83.9599
nmdc:bsm-11-35zsgb58,35.8443,-83.9607
nmdc:bsm-11-9apvdh46,35.8443,-83.9607
nmdc:bsm-13-3p3ehg08,46.37228379,-119.2717467
nmdc:bsm-11-bja22k98,35.8444,-83.9599
nmdc:bsm-11-dh6mrw95,35.8444,-83.9599
nmdc:bsm-11-pp3dyq82,35.8443,-83.9607
nmdc:bsm-11-0k8nkx16,35.8444,-83.9599
nmdc:bsm-11-ekcp0h74,35.8443,-83.9607
nmdc:bsm-11-k1twxb65,35.8443,-83.9607
nmdc:bsm-11-kmw7r933,35.8443,-83.9607
nmdc:bsm-13-66d1ht20,46.37228379,-119.2717467
nmdc:bsm-11-vhk2dt09,35.8444,-83.9599
nmdc:bsm-11-nxhj1324,35.8444,-83.9599
nmdc:bsm-11-e50em075,35.8444,-83.9599
nmdc:bsm-11-cfvxnx86,35.8443,-83.9607
nmdc:bsm-11-7v0s5h20,35.8443,-83.9607
nmdc:bsm-11-hsbzr487,35.8444,-83.9599
nmdc:bsm-11-cq098052,35.8444,-83.9599
nmdc:bsm-11-q0kq3j07,35.8443,-83.9607
nmdc:bsm-11-gct9a904,35.8443,-83.9607
nmdc:bsm-11-njgegt83,35.8443,-83.9607
nmdc:bsm-11-ra4act47,35.8444,-83.9599
nmdc:bsm-11-4cf44p06,35.8444,-83.9599
nmdc:bsm-11-x0gt4r57,35.8444,-83.9599
nmdc:bsm-11-z0d0s429,35.8444,-83.9599
nmdc:bsm-11-gvp5zp51,40.178,-81.073
nmdc:bsm-11-yvzvbr38,40.178,-81.073
nmdc:bsm-11-7b566r47,40.178,-81.073
nmdc:bsm-11-byzpm179,40.178,-81.073
nmdc:bsm-11-kmpwgz16,40.178,-81.073
nmdc:bsm-11-kqbbyb62,40.178,-81.073
nmdc:bsm-11-fqchmc77,40.178,-81.073
nmdc:bsm-11-kv966g71,40.178,-81.073
nmdc:bsm-11-m5prkp97,40.178,-81.073
nmdc:bsm-11-tn8q1269,40.178,-81.073
nmdc:bsm-11-gnbsqd30,40.178,-81.073
nmdc:bsm-11-jx6ar740,40.178,-81.073
nmdc:bsm-11-sa4z4f71,40.178,-81.073
nmdc:bsm-11-m69k6p77,40.178,-81.073
nmdc:bsm-11-a6p0kd54,40.178,-81.073
nmdc:bsm-13-kcdh3w94,46.37228379,-119.2717467
nmdc:bsm-11-veffrc25,40.178,-81.073
nmdc:bsm-11-2hswww54,40.178,-81.073
nmdc:bsm-11-ttg2t449,40.178,-81.073
nmdc:bsm-13-1p0tct86,46.37380143,-119.2723688
nmdc:bsm-11-35m0rm03,40.178,-81.073
nmdc:bsm-11-af8kqq09,40.178,-81.073
nmdc:bsm-11-3r4g4610,40.178,-81.073
nmdc:bsm-11-fbm8fa50,40.178,-81.073
nmdc:bsm-13-2fw5j754,46.37379502,-119.2722385
nmdc:bsm-13-peafgc08,46.37228508,-119.2716818
nmdc:bsm-13-kem2v355,46.37229149,-119.2718121
nmdc:bsm-13-hvpzqc38,46.37228508,-119.2716818
nmdc:bsm-13-drp3nj25,46.37228508,-119.2716818
nmdc:bsm-13-ay11wa90,46.37379502,-119.2722385
nmdc:bsm-13-2yga6857,46.37379502,-119.2722385
nmdc:bsm-13-yjp2dx65,46.37380143,-119.2723688
nmdc:bsm-13-as680w10,46.37229149,-119.2718121
nmdc:bsm-13-hxr5ks11,46.37380273,-119.2723038
nmdc:bsm-13-5bfhqy53,46.37380273,-119.2723038
nmdc:bsm-13-7qxjvr77,46.37229149,-119.2718121
nmdc:bsm-13-xvf06c81,46.37380273,-119.2723038
nmdc:bsm-13-fs4zf767,46.37229149,-119.2718121
nmdc:bsm-13-khnf9f29,46.37380143,-119.2723688
nmdc:bsm-13-3dt9xs73,46.37379502,-119.2722385
nmdc:bsm-13-937ebx72,46.37380273,-119.2723038
nmdc:bsm-13-9qwsvm77,46.37229149,-119.2718121
nmdc:bsm-13-0jw5n594,46.37380143,-119.2723688
nmdc:bsm-13-dd9rmc16,46.37228508,-119.2716818
nmdc:bsm-13-8e1rjf10,46.37380143,-119.2723688
nmdc:bsm-13-sepcxd06,46.37379502,-119.2722385
nmdc:bsm-13-mvpx4z13,46.37228379,-119.2717467
nmdc:bsm-13-an5fyr03,46.37228249,-119.2718117
nmdc:bsm-13-6naxpa52,46.37228379,-119.2717467
nmdc:bsm-13-13145k83,46.37379502,-119.2722385
nmdc:bsm-13-c0xjg970,46.37228379,-119.2717467
nmdc:bsm-13-zms1jq91,46.37228508,-119.2716818
nmdc:bsm-13-3pvn5d70,46.37228379,-119.2717467
nmdc:bsm-13-amdcp906,46.37228508,-119.2716818
nmdc:bsm-13-vqk1y255,46.37228379,-119.2717467
nmdc:bsm-13-fcz67681,47.5028,-93.4828
nmdc:bsm-13-5perne71,47.5028,-93.4828
nmdc:bsm-13-bbvmxw69,47.5028,-93.4828
nmdc:bsm-13-sx4w7069,47.5028,-93.4828
nmdc:bsm-13-4y3pzr19,47.5028,-93.4828
nmdc:bsm-13-x1ma5j53,47.5028,-93.4828
nmdc:bsm-13-s6pqdh86,47.5028,-93.4828
nmdc:bsm-13-y2s5yw49,47.5028,-93.4828
nmdc:bsm-13-xr2vxh14,47.5028,-93.4828
nmdc:bsm-13-bn7xy734,47.5028,-93.4828
nmdc:bsm-13-h2xfde47,47.5028,-93.4828
nmdc:bsm-13-8wbdgs11,47.5028,-93.4828
nmdc:bsm-13-kbv59d50,47.5028,-93.4828
nmdc:bsm-13-hrpm2628,47.5028,-93.4828
nmdc:bsm-13-x70fwn09,47.5028,-93.4828
nmdc:bsm-13-ddp65a36,47.5028,-93.4828
nmdc:bsm-13-ybh49n05,47.5028,-93.4828
nmdc:bsm-13-6k2c1f46,47.5028,-93.4828
nmdc:bsm-13-smf6g033,47.5028,-93.4828
nmdc:bsm-13-8kyy6k05,47.5028,-93.4828
nmdc:bsm-13-ejzgt033,47.5028,-93.4828
nmdc:bsm-13-2cv2tj30,47.5028,-93.4828
nmdc:bsm-13-86c1zk13,47.5028,-93.4828
nmdc:bsm-13-arf84s42,47.5028,-93.4828
nmdc:bsm-13-hg452k39,47.5028,-93.4828
nmdc:bsm-13-6p3pkb08,47.5028,-93.4828
nmdc:bsm-13-zvz59s14,47.5028,-93.4828
nmdc:bsm-13-fss46f13,47.5028,-93.4828
nmdc:bsm-13-h5cw6h57,47.5028,-93.4828
nmdc:bsm-13-c1f8fv85,47.5028,-93.4828
nmdc:bsm-13-k80gq797,47.5028,-93.4828
nmdc:bsm-13-d573mh44,47.5028,-93.4828
nmdc:bsm-13-d49z5h81,47.5028,-93.4828
nmdc:bsm-13-yvpfes41,47.5028,-93.4828
nmdc:bsm-13-25fmb123,47.5028,-93.4828
nmdc:bsm-13-gre72d26,47.5028,-93.4828
nmdc:bsm-13-2fc16720,47.5028,-93.4828
nmdc:bsm-13-ekpga968,47.5028,-93.4828
nmdc:bsm-11-nher1m25,40.178,-81.073
nmdc:bsm-11-ed5sns91,18.321,-65.8172
